32285, the School, artist's co-living space, Latoya Williams's room, sp-A
32295, the School, artist's co-living space, Rajiv Patel's room, sp-A
32305, the School, artist's co-living space, Rajiv Patel's room, sp-B
32315, the School, artist's co-living space, Abigail Chen's room, sp-A
32286, the School, artist's co-living space, Francisco Lopez's room, sp-A
32296, the School, artist's co-living space, Hailey Johnson's room, sp-A
32306, the School, Arthur Burton's apartment, main room, sp-A
32316, the School, Arthur Burton's apartment, main room, sp-B
32287, the School, Ryan Park's apartment, main room, sp-A
32297, the School, Ryan Park's apartment, main room, sp-B
32307, the School, Isabella Rodriguez's apartment, main room, sp-A
32317, the School, Isabella Rodriguez's apartment, main room, sp-B
32288, the School, Giorgio Rossi's apartment, main room, sp-A
32298, the School, Giorgio Rossi's apartment, main room, sp-B
32308, the School, Carlos Gomez's apartment, main room, sp-A
32318, the School, Carlos Gomez's apartment, main room, sp-B
32289, the School, Adam Smith's house, main room, sp-A
32299, the School, Adam Smith's house, main room, sp-B
32309, the School, Yuriko Yamamoto's house, main room, sp-A
32319, the School, Yuriko Yamamoto's house, main room, sp-B
32290, the School, Moore family's house, main room, sp-A
32300, the School, Moore family's house, main room, sp-B
32310, the School, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
32320, the School, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
32291, the School, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
32301, the School, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B
32311, the School, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
32321, the School, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
32292, the School, Moreno family's house, empty bedroom, sp-A
32302, the School, Moreno family's house, empty bedroom, sp-B
32312, the School, Lin family's house, Mei and John Lin's bedroom, sp-A
32322, the School, Lin family's house, Mei and John Lin's bedroom, sp-B
32293, the School, Lin family's house, Eddy Lin's bedroom, sp-A
32303, the School, Lin family's house, Eddy Lin's bedroom, sp-B
32313, the School, Dorm for Oak Hill College, Klaus Mueller's room, sp-A
32323, the School, Dorm for Oak Hill College, Klaus Mueller's room, sp-B
32294, the School, Dorm for Oak Hill College, Maria Lopez's room, sp-A
32304, the School, Dorm for Oak Hill College, Ayesha Khan's room, sp-A
32314, the School, Dorm for Oak Hill College, Ayesha Khan's room, sp-B
32324, the School, Dorm for Oak Hill College, Wolfgang Schulz's room, sp-A
